order_id,customer_id,order_date,city,gender,acquisition_channel,device,payment_method,shipping_method,shipping_fee,tax_rate,order_status,product_id,product_category,product_brand,unit_price,quantity,discount_amount,coupon_code,line_subtotal,line_net,order_items,order_gross,order_discount,order_net_before_tax_ship,order_tax,order_total
O0001896,C00186,2024-08-30,Giza,Male,Email,Android,Wallet,Pickup,0,0.139,Delivered,P00039,Fashion,Brand_BEA_1,118.51,1,12.4,WELCOME10,118.51,106.11,5,7345.51,722.73,6622.78,920.57,7543.35
O0000664,C01154,2024-03-27,Ismailia,Female,Paid Search,iOS,Card,Standard,25,0.151,Delivered,P00062,Automotive,Brand_BOO_3,288.62,3,0.0,FREESHIP,865.86,865.86,1,865.86,0.0,865.86,130.74,1021.6
O0004028,C00210,2025-06-03,Zagazig,Female,Marketplace,iOS,Wallet,Standard,25,0.127,Delivered,P00175,Automotive,Brand_AUT_2,38.21,1,0.0,,38.21,38.21,2,996.89,0.0,996.89,126.61,1148.5
O0000884,C01098,2024-04-25,Aswan,Female,Social,Android,Wallet,Standard,25,0.12,Delivered,P00155,Books,Brand_GAR_2,253.27,1,0.0,,253.27,253.27,5,7635.9,0.0,7635.9,916.31,8577.21
O0002412,C01194,2024-11-05,Alexandria,Male,Social,iOS,Card,Standard,25,0.16,Delivered,P00170,Electronics,Brand_HOM_3,1278.79,3,0.0,,3836.37,3836.37,4,5645.49,0.0,5645.49,903.28,6573.77
O0001286,C00876,2024-06-12,Luxor,,Paid Search,iOS,Cash,Standard,25,0.132,Delivered,P00009,Beauty,Brand_TOY_2,958.28,2,0.0,,1916.56,1916.56,4,5385.77,0.0,5385.77,710.92,6121.69
O0005204,C00007,2025-11-11,Giza,Female,Social,Android,Card,Express,55,0.132,Delivered,P00173,Office,Brand_SPO_2,890.62,1,0.0,,890.62,890.62,2,1684.12,0.0,1684.12,222.3,1961.42
O0003895,C00238,2025-05-17,Mansoura,Female,Email,Web,Cash,Standard,25,0.138,Delivered,P00202,Garden,Brand_AUT_1,73.52,1,0.0,,73.52,73.52,5,2468.78,0.0,2468.78,340.69,2834.47
O0000873,C00249,2024-04-23,Zagazig,Female,Email,iOS,Card,Standard,25,0.11,Delivered,P00142,Beauty,Brand_GAR_3,197.21,2,0.0,,394.42,394.42,5,9249.92,0.0,9249.92,1017.49,10292.41
O0004261,C00075,2025-07-11,Mansoura,Female,Organic,iOS,Card,Express,55,0.149,Delivered,P00046,Pet,Brand_TOY_3,264.99,3,0.0,,794.97,794.97,4,5401.75,0.0,5401.75,804.86,6261.61
O0004550,C00125,2025-08-16,Cairo,Male,Paid Search,Android,Card,Express,55,0.135,Delivered,P00188,Sports,Brand_HOM_3,1258.61,1,0.0,,1258.61,1258.61,3,3501.08,0.0,3501.08,472.65,4028.73
O0004098,C00495,2025-06-15,Luxor,Female,Organic,Android,Card,Standard,25,0.106,Delivered,P00172,Home,Brand_BEA_1,200.44,3,0.0,,601.32,601.32,5,11448.15,0.0,11448.15,1213.5,12686.65
O0001453,C00856,2024-07-06,Mansoura,Female,Paid Search,iOS,Card,Standard,25,0.15,Delivered,P00145,Pet,Brand_HOM_2,993.64,3,0.0,,2980.92,2980.92,3,5864.78,0.0,5864.78,879.72,6769.5
O0003802,C00408,2025-05-02,,Male,Email,iOS,,Standard,25,0.133,Delivered,P00041,Home,Brand_OFF_2,236.34,2,0.0,,472.68,472.68,1,472.68,0.0,472.68,62.87,560.55
O0000031,C00762,2024-01-04,Zagazig,Female,Organic,Android,Card,Standard,25,0.115,Delivered,P00067,Garden,Brand_HOM_3,92.9,2,0.0,,185.8,185.8,5,5745.89,0.0,5745.89,660.78,6431.67
O0004938,C00351,2025-10-08,Tanta,Female,Email,iOS,Cash,Standard,25,0.141,Delivered,P00024,Pet,Brand_GRO_3,805.54,1,41.71,VIP20,805.54,763.83,4,3039.98,291.72,2748.26,387.5,3160.76
O0001946,C00891,2024-09-06,Giza,Male,Organic,Android,Wallet,Standard,25,0.103,Delivered,P00153,Pet,Brand_SPO_3,559.0,2,0.0,,1118.0,1118.0,5,9583.0,0.0,9583.0,987.05,10595.05
O0005687,C00553,2026-01-16,Cairo,Female,Referral,Web,Bank Transfer,Standard,25,0.156,Delivered,P00117,Electronics,Brand_PET_2,160.74,2,0.0,,321.48,321.48,2,2951.5,0.0,2951.5,460.43,3436.93
O0004955,C01060,2025-10-11,Zagazig,Female,Marketplace,Web,Wallet,Standard,25,0.12,Delivered,P00060,Automotive,Brand_ELE_3,1279.67,3,0.0,,3839.01,3839.01,2,4296.14,0.0,4296.14,515.54,4836.68
O0000890,C01170,2024-04-25,Zagazig,Female,Organic,iOS,Cash,Express,55,0.127,Delivered,P00053,Sports,Brand_HOM_3,99.01,2,0.0,,198.02,198.02,5,6235.05,0.0,6235.05,791.85,7081.9
O0001581,C00894,2024-07-20,Zagazig,Male,Social,Web,Cash,Standard,25,0.133,Delivered,P00185,Books,Brand_BOO_3,1495.61,3,0.0,,4486.83,4486.83,3,7933.89,0.0,7933.89,1055.21,9014.1
O0000932,C00803,2024-04-30,Luxor,Male,Social,Android,Cash,Standard,25,0.147,Delivered,P00215,Automotive,Brand_BOO_1,79.42,3,0.0,,238.26,238.26,5,8744.38,0.0,8744.38,1285.42,10054.8
O0000212,C00566,2024-01-30,Port Said,Female,Referral,iOS,Wallet,Pickup,0,0.124,Delivered,P00069,Electronics,Brand_TOY_2,795.15,2,0.0,,1590.3,1590.3,5,12424.28,0.0,12424.28,1540.61,13964.89
O0001890,C01011,2024-08-29,Giza,Other,Organic,Web,Card,Standard,25,0.16,Delivered,P00091,Books,Brand_GRO_3,727.26,2,0.0,,1454.52,1454.52,5,6607.3,0.0,6607.3,1057.17,7689.47
O0002614,C00532,2024-12-01,Suez,Male,Organic,Android,Wallet,Standard,25,0.132,Delivered,P00063,Sports,Brand_AUT_1,370.38,3,0.0,FREESHIP,1111.14,1111.14,1,1111.14,0.0,1111.14,146.67,1282.81
O0001891,C00614,2024-08-29,Alexandria,Female,Paid Search,Android,Card,Standard,25,0.124,Canceled,P00132,Toys,Brand_ELE_2,273.51,3,0.0,,820.53,820.53,4,4243.21,0.0,4243.21,526.16,4794.37
O0000512,C00509,2024-03-09,Mansoura,,Organic,Android,Card,Standard,25,0.138,Processing,P00131,Toys,Brand_TOY_2,931.93,3,0.0,,2795.79,2795.79,5,8736.12,0.0,8736.12,1205.58,9966.7
O0002321,C00546,2024-10-24,Cairo,Male,Social,iOS,Card,Standard,25,0.139,Delivered,P00217,Electronics,Brand_TOY_3,204.89,1,0.0,,204.89,204.89,5,3046.4,0.0,3046.4,423.45,3494.85
O0003433,C00505,2025-03-14,Alexandria,Male,Referral,Web,Cash,Standard,25,0.112,Delivered,P00047,Books,Brand_BOO_2,441.39,3,0.0,,1324.17,1324.17,1,1324.17,0.0,1324.17,148.31,1497.48
O0002798,C00148,2024-12-24,Luxor,Male,Social,Web,Bank Transfer,Standard,25,0.122,Returned,P00173,Office,Brand_SPO_2,890.62,3,284.64,BUNDLE5,2671.86,2387.22,4,7722.44,771.79,6950.65,847.98,7823.63
O0004881,C00246,2025-09-29,Giza,Female,Organic,Tablet,Card,Express,55,0.152,Canceled,P00198,Home,Brand_HOM_2,1169.62,2,466.54,RAMADAN15,2339.24,1872.7,4,4351.42,777.47,3573.95,543.24,4172.19
O0001661,C00609,2024-08-01,Alexandria,Female,Organic,Android,Cash,Express,55,0.102,Delivered,P00194,Sports,Brand_HOM_2,1347.61,3,0.0,,4042.83,4042.83,3,6103.23,0.0,6103.23,622.53,6780.76
O0001423,C00590,2024-07-02,Cairo,Male,Organic,Web,Card,Standard,25,0.113,Canceled,P00148,Beauty,Brand_FAS_3,1013.42,1,0.0,,1013.42,1013.42,5,4711.83,0.0,4711.83,532.44,5269.27
O0004947,C00663,2025-10-10,Luxor,Female,Marketplace,Web,Card,Standard,25,0.123,Delivered,P00150,Electronics,Brand_OFF_1,1349.58,1,226.57,RAMADAN15,1349.58,1123.01,5,6105.31,883.2,5222.11,642.32,5889.43
O0003516,C00414,2025-03-25,Alexandria,Male,Email,iOS,Card,Standard,25,0.158,Returned,P00074,Home,Brand_FAS_3,166.69,1,19.99,VIP20,166.69,146.7,5,8013.27,1005.87,7007.4,1107.17,8139.57
O0003317,C00728,2025-02-28,Mansoura,Male,Paid Search,Web,Card,Standard,25,0.148,Returned,P00175,Automotive,Brand_AUT_2,38.21,1,6.11,RAMADAN15,38.21,32.1,5,5964.58,922.84,5041.74,746.18,5812.92
O0001760,C00477,2024-08-14,Mansoura,Male,Marketplace,Android,Wallet,Express,55,0.132,Delivered,P00075,Automotive,Brand_TOY_2,1268.49,2,446.54,VIP20,2536.98,2090.44,4,9848.39,1521.54,8326.85,1099.14,9480.99
O0005582,C01090,2026-01-03,Cairo,Female,Marketplace,Web,Card,Standard,25,0.127,Returned,P00134,Toys,Brand_BOO_1,867.2,2,0.0,,1734.4,1734.4,4,5351.59,0.0,5351.59,679.65,6056.24
O0005055,C00165,2025-10-24,Tanta,Male,Organic,Tablet,Cash,Standard,25,0.128,Processing,P00125,Garden,Brand_GAR_3,1178.28,1,0.0,,1178.28,1178.28,3,5842.44,0.0,5842.44,747.83,6615.27
O0002660,C00852,2024-12-08,Aswan,Female,Paid Search,Web,Cash,Express,55,0.138,Delivered,P00157,Home,Brand_AUT_3,1405.47,2,0.0,,2810.94,2810.94,4,7253.79,0.0,7253.79,1001.02,8309.81
O0004754,C00361,2025-09-12,Port Said,Female,Social,Android,Card,Express,55,0.133,Delivered,P00184,Automotive,Brand_PET_2,183.67,2,0.0,,367.34,367.34,1,367.34,0.0,367.34,48.86,471.2
O0000460,C00691,2024-03-01,Port Said,Female,Paid Search,Web,Card,Pickup,0,0.146,Delivered,P00070,Books,Brand_BOO_3,170.47,3,0.0,,511.41,511.41,1,511.41,0.0,511.41,74.67,586.08
O0000623,C00894,2024-03-22,Tanta,Female,Social,Android,Card,Pickup,0,0.117,Delivered,P00212,Automotive,Brand_AUT_3,1162.72,2,0.0,,2325.44,2325.44,4,6134.39,0.0,6134.39,717.72,6852.11
O0002387,C00641,2024-11-03,Ismailia,Female,Organic,iOS,Card,Pickup,0,0.122,Delivered,P00100,Home,Brand_OFF_1,1424.31,1,0.0,,1424.31,1424.31,4,5325.44,0.0,5325.44,649.7,5975.14
